VehicleID,Food TypeID,RawCropsID,Country_ID,Periodical Unit,Source Volume,UnitID,Start Year,End Year,Accessed Date,Source,Link,Process to Obtain Data,,,,,,,,,,,,
1,6,2,1,Annual,4,1,Jan-22,Dec-22,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: sunflower oil> Year: 2015-2024",,,,,,,,,,,,
1,9,2,1,Annual,1,1,Jan-22,Dec-22,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: mustard oil> Year: 2015-2024",,,,,,,,,,,,
1,5,2,1,Annual,"2,816.00",1,Jan-15,Dec-15,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: palm oil> Year: 2015-2024",,,,,,,,,,,,
1,5,2,1,Annual,"1,366.00",1,Jan-16,Dec-16,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: palm oil> Year: 2015-2024",,,,,,,,,,,,
1,5,2,1,Annual,"1,482.00",1,Jan-17,Dec-17,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: palm oil> Year: 2015-2024",,,,,,,,,,,,
1,5,2,1,Annual,"1,729.00",1,Jan-18,Dec-18,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: palm oil> Year: 2015-2024",,,,,,,,,,,,
1,5,2,1,Annual,"1,413.00",1,Jan-19,Dec-19,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: palm oil> Year: 2015-2024",,,,,,,,,,,,
1,5,2,1,Annual,"1,335.00",1,Jan-20,Dec-20,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: palm oil> Year: 2015-2024",,,,,,,,,,,,
1,5,2,1,Annual,"1,412.00",1,Jan-21,Dec-21,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: palm oil> Year: 2015-2024",,,,,,,,,,,,
1,5,2,1,Annual,"1,339.00",1,21-Jul,22-Jun,4-Nov-24,Oilseeds and Products Annual GAIN Report - USDA,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Oilseeds%20and%20Products%20Annual_Dhaka_Bangladesh_BG2023-0007,BBS Homepage > Publication > Foreign Trade Statistics > Yearly Report> Volume 2> Part 2,,,,,,,,,,,,
1,5,2,1,Annual,"1,700.00",1,22-Jul,23-Jun,4-Nov-24,Oilseeds and Products Annual GAIN Report - USDA,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Oilseeds%20and%20Products%20Annual_Dhaka_Bangladesh_BG2023-0007,BBS Homepage > Publication > Foreign Trade Statistics > Yearly Report> Volume 2> Part 2,,,,,,,,,,,,
1,5,2,1,Annual,"1,500.00",1,23-Jul,24-Jun,4-Nov-24,Oilseeds and Products Annual GAIN Report - USDA,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/8643ec8b_27a3_41cd_bbd9_9be3479f578e/2023-05-28-05-50-77ecbebf784c7504c5fc839be6ab707e.pdf,BBS Homepage > Publication > Foreign Trade Statistics > Yearly Report> Volume 2> Part 2,,,,,,,,,,,,
1,5,2,1,Annual,2,1,23-Jul,24-Jun,4-Nov-24,Oilseeds and Products Annual GAIN Report - USDA,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/8643ec8b_27a3_41cd_bbd9_9be3479f578e/2023-05-28-05-50-77ecbebf784c7504c5fc839be6ab707e.pdf,BBS Homepage > Publication > Foreign Trade Statistics > Yearly Report> Volume 2> Part 2,,,,,,,,,,,,
1,7,2,1,Annual,2,1,15-Jan,15-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: coconut oil> Year: 2015-2024",,,,,,,,,,,,
1,7,2,1,Annual,1,1,16-Jan,16-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: coconut oil> Year: 2015-2024",,,,,,,,,,,,
1,7,2,1,Annual,3,1,17-Jan,17-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: coconut oil> Year: 2015-2024",,,,,,,,,,,,
1,7,2,1,Annual,2,1,18-Jan,18-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: coconut oil> Year: 2015-2024",,,,,,,,,,,,
1,7,2,1,Annual,1,1,19-Jan,19-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: coconut oil> Year: 2015-2024",,,,,,,,,,,,
1,7,2,1,Annual,2,1,20-Jan,20-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: coconut oil> Year: 2015-2024",,,,,,,,,,,,
1,7,2,1,Annual,2,1,21-Jan,21-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: coconut oil> Year: 2015-2024",,,,,,,,,,,,
1,7,2,1,Annual,0,1,22-Jan,22-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: coconut oil> Year: 2015-2024",,,,,,,,,,,,
1,15,2,1,Annual,1,1,15-Jan,15-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: Olive oil > Year: 2015-2024",,,,,,,,,,,,
1,15,2,1,Annual,1,1,16-Jan,16-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: Olive oil > Year: 2015-2024",,,,,,,,,,,,
1,15,2,1,Annual,1,1,17-Jan,17-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: Olive oil > Year: 2015-2024",,,,,,,,,,,,
1,15,2,1,Annual,1,1,18-Jan,18-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: Olive oil > Year: 2015-2024",,,,,,,,,,,,
1,15,2,1,Annual,2,1,19-Jan,19-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: Olive oil > Year: 2015-2024",,,,,,,,,,,,
1,15,2,1,Annual,1,1,20-Jan,20-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: Olive oil > Year: 2015-2024",,,,,,,,,,,,
1,15,2,1,Annual,1,1,21-Jan,21-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: Olive oil > Year: 2015-2024",,,,,,,,,,,,
1,15,2,1,Annual,"1,000.00",1,22-Jan,22-Dec,4-Nov-24,Faostat,https://www.fao.org/faostat/en/#data/FBS,"FAOSTAT Homepage > Data
Ribbon > Food Balance Sheets > Country Filter:
Bangladesh > Element Filter:
Import Quantity >
Items Filter: Olive oil > Year: 2015-2024",,,,,,,,,,,,
