Food Vehicle,Country,FoodType,Processing Stage,Origin,Producer/ processor name,Producer/ processor address,Country of producer/ processor,Production capacity volume (MT/Y),% of capacity used,Annual production/ supply Volume,Brand name,Product reference,Supply Volume Unit,"Periodical Unit Year/Month, Day)",Source Volume,Value in Metric Ton/ Year,Crop to Food Converted Value,Start Year,End Year,Accessed Date,Source,Link,Process to Obtain Data,Producer name,Distribution Channel,Sub Distribution Channel,Volume,Source Volume Unit,Periodical Unit (Annual/Monthly),Distributed volume in Metric Ton/ Year,Food vehicle supply to distributed Converted Value,Zone,Region/state,City,Population Group,Age Group,Population ratio,Acquired or consumed,Source Volume,Converted Value,Volume Unit,Periodical Unit (Annual/Monthly),Consumed volume in Metric Ton/ Year,Food consumed to acquired Converted Value
Edible Oil,Bangladesh,Sunflower,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,17-Jan,17-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Wholesale,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-Oct,0,Acquired,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Sunflower,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,18-Jan,18-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Wholesale,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-30,0,Acquired,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Sunflower,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,19-Jan,19-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Supermarket,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Sunflower,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,20-Jan,20-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Supermarket,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Sunflower,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,21-Jan,21-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Supermarket,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Sunflower,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,22-Jan,22-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Supermarket,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Rape & Mustard,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,22-Jan,22-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Supermarket,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Palm,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,15-Jan,15-Dec,N/A,N/A,N/A,N/A,N/A,Retail,Supermarket,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Palm,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,16-Jan,16-Dec,N/A,N/A,N/A,N/A,N/A,Institutional,Government Ration,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Palm,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,17-Jan,17-Dec,N/A,N/A,N/A,N/A,N/A,Institutional,Government Ration,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Palm,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,18-Jan,18-Dec,N/A,N/A,N/A,N/A,N/A,Institutional,Government Ration,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Palm,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,19-Jan,19-Dec,N/A,N/A,N/A,N/A,N/A,Institutional,Government Ration,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Palm,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,20-Jan,20-Dec,N/A,N/A,N/A,N/A,N/A,Institutional,Government Ration,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Palm,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,21-Jan,21-Dec,N/A,N/A,N/A,N/A,N/A,Institutional,Government Ration,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Palm,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,21-Jul,22-Jun,N/A,N/A,N/A,N/A,N/A,Institutional,OMS,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Palm,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,22-Jul,23-Jun,N/A,N/A,N/A,N/A,N/A,Institutional,OMS,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Palm,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,23-Jul,24-Jun,N/A,N/A,N/A,N/A,N/A,Institutional,OMS,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Palm kernel,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,23-Jul,24-Jun,N/A,N/A,N/A,N/A,N/A,Institutional,OMS,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Coconut,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,15-Jan,15-Dec,N/A,N/A,N/A,N/A,N/A,Institutional,OMS,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Coconut,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,16-Jan,16-Dec,N/A,N/A,N/A,N/A,N/A,Institutional,OMS,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Coconut,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,17-Jan,17-Dec,N/A,N/A,N/A,N/A,N/A,Food Service,Canteen,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Coconut,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,18-Jan,18-Dec,N/A,N/A,N/A,N/A,N/A,Food Service,Canteen,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Coconut,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,19-Jan,19-Dec,N/A,N/A,N/A,N/A,N/A,Food Service,Canteen,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Coconut,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,20-Jan,20-Dec,N/A,N/A,N/A,N/A,N/A,Food Service,Canteen,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Coconut,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,21-Jan,21-Dec,N/A,N/A,N/A,N/A,N/A,Food Service,Canteen,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Coconut,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,22-Jan,22-Dec,N/A,N/A,N/A,N/A,N/A,Food Service,Canteen,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Olive Oil,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,15-Jan,15-Dec,N/A,N/A,N/A,N/A,N/A,Food Service,Hotels,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Olive Oil,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,16-Jan,16-Dec,N/A,N/A,N/A,N/A,N/A,Food Service,Hotels,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Olive Oil,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,17-Jan,17-Dec,N/A,N/A,N/A,N/A,N/A,Food Service,Hotels,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Olive Oil,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,18-Jan,18-Dec,N/A,N/A,N/A,N/A,N/A,Food Service,Hotels,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Olive Oil,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,19-Jan,19-Dec,N/A,N/A,N/A,N/A,N/A,Food Service,Hotels,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Olive Oil,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,20-Jan,20-Dec,N/A,N/A,N/A,N/A,N/A,Food Service,Hotels,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Olive Oil,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,21-Jan,21-Dec,N/A,N/A,N/A,N/A,N/A,Food Service,Restaurants,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Olive Oil,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,0,0,0,22-Jan,22-Dec,N/A,N/A,N/A,N/A,N/A,Food Service,Restaurants,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Sesame,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,"32,434.08",0,5675.964,20-Jul,21-Jun,16-Oct-24,Yearbook of Agriculture Statistics 2023 - BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.,N/A,Food Service,Restaurants,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Sesame,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,"31,060.23",0,5435.54025,21-Jul,22-Jun,16-Oct-24,Yearbook of Agriculture Statistics 2023 - BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.,N/A,Food Service,Restaurants,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Sesame,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,"30,714.68",0,5375.069,22-Jul,23-Jun,17-Oct-24,Yearbook of Agriculture Statistics 2023 - BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.,N/A,Food Service,Restaurants,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Rape & Mustard,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,"396,594.28",0,69403.999,20-Jul,21-Jun,16-Oct-24,Yearbook of Agriculture Statistics 2023 - BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.,N/A,Food Service,Restaurants,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Rape & Mustard,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,"409,659.06",0,71690.3355,21-Jul,22-Jun,16-Oct-24,Yearbook of Agriculture Statistics 2023 - BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.,N/A,Food Service,Fast Food,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Rape & Mustard,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,"547,425.32",0,95799.431,22-Jul,23-Jun,17-Oct-24,Yearbook of Agriculture Statistics 2023 - BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.,N/A,Food Service,Fast Food,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Ground Nut,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,"66,745.41",0,11680.44675,20-Jul,21-Jun,16-Oct-24,Yearbook of Agriculture Statistics 2023 - BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.,N/A,Food Service,Fast Food,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Ground Nut,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,"74,748.67",0,13081.01725,21-Jul,22-Jun,16-Oct-24,Yearbook of Agriculture Statistics 2023 - BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.,N/A,Food Service,Fast Food,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Ground Nut,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,"75,030.85",0,13130.39875,22-Jul,23-Jun,16-Oct-24,Yearbook of Agriculture Statistics 2023 - BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.,N/A,Food Service,Fast Food,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Soya Bean,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,"91,176.59",0,15955.90325,20-Jul,21-Jun,16-Oct-24,Yearbook of Agriculture Statistics 2023 - BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.,N/A,Food Service,Fast Food,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Soya Bean,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,"98,646.06",0,17263.0605,21-Jul,22-Jun,16-Oct-24,Yearbook of Agriculture Statistics 2023 - BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.,N/A,B2B,Small 2nd level processing Manufacturing,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,10-Jan,0,N/A,20,20,Grams,Day,0,0
Edible Oil,Bangladesh,Soya Bean,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,"107,307.59",0,18778.82825,22-Jul,23-Jun,16-Oct-24,Yearbook of Agriculture Statistics 2023 - BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.,N/A,B2B,Small 2nd level processing Manufacturing,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-Oct,0,N/A,30,30,Grams,Day,0,0
Edible Oil,Bangladesh,Coconut,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,"402,852.00",0,70499.1,21-Jul,22-Jun,17-Oct-24,Yearbook of Agriculture Statistics 2023 - BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.,N/A,B2B,Small 2nd level processing Manufacturing,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Male,20-30,0,N/A,40,40,Grams,Day,0,0
Edible Oil,Bangladesh,Coconut,Oil Seeds,Local,N/A,N/A,Bangladesh,0,0,0,N/A,N/A,Metric Ton,Year,"411,969.56",0,72094.673,22-Jul,23-Jun,18-Oct-24,Yearbook of Agriculture Statistics 2023 - BBS,https://bbs.portal.gov.bd/sites/default/files/files/bbs.portal.gov.bd/page/1b1eb817_9325_4354_a756_3d18412203e2/2024-06-13-05-41-8d348db80ecf814b6f1876432643639e.pdf,BBS Homepage > Publication > Regular Publication > Yearbook of Agriculture Statistics by Year > Go to "National estimate of different Oilseeds" section of the report.,N/A,B2B,Small 2nd level processing Manufacturing,0,Metric Ton,Month,0,0,N/A,N/A,Dhaka,Female,10-Jan,0,N/A,20,20,Grams,Day,0,0
